SKU,Description,Name,DisplayName,Available in SNaP,Pricing Formula,Cost,FranchisePrice,RetailPrice,Series,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode,IsActive
AC-0000001,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,Hamper Basket Chrome 18x14x19,0,AC Hamper,28.69,32.99,61.95,0,EA,AC,HAFELE,547.42.231,4,1,0,0,0,Y
AC-0000002,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,Hamper Basket Chrome 18x16x19,0,AC Hamper,29.53,33.96,63.68,0,EA,AC,HAFELE,547.42.241,4,1,0,0,0,Y
AC-0000003,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,Hamper Basket Chrome 24x14x19,0,AC Hamper,34.22,39.35,73.31,0,EA,AC,HAFELE,547.42.232,4,1,0,0,0,Y
AC-0000004,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,Hamper Basket Chrome 24x16x19,0,AC Hamper,37.29,42.88,79.61,0,EA,AC,HAFELE,547.42.242,4,1,0,0,0,Y
AC-0000005,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,Hamper Basket Wht 18x16x19,0,AC Hamper,24.57,28.26,53.5,0,EA,AC,HAFELE,547.42.741,4,1,0,0,0,Y
AC-0000006,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,Hamper Basket Wht 24x16x19,0,AC Hamper,28.32,32.57,61.19,0,EA,AC,HAFELE,547.42.742,4,1,0,0,0,Y
AC-0000007,Hamper Basket Wht 18x14x19,Hamper Basket Wht 18x14x19,Hamper Basket Wht 18x14x19,0,AC Hamper,23.68,27.23,51.67,0,EA,AC,HAFELE,547.42.731,4,1,0,0,0,Y
AC-0000008,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,Hamper Basket Wht 24x14x19,0,AC Hamper,26.93,30.97,58.34,0,EA,AC,HAFELE,547.42.732,4,1,0,0,0,Y
AC-0000010,Hamper Brake Flap Left,Hamper Brake Flap Left,Hamper Brake Flap Left,0,AC Hamper,3.35,3.85,9.93,0,EA,AC,HAFELE,365.75.713,4,1,0,0,0,Y
AC-0000011,Hamper Brake Flap Right,Hamper Brake Flap Right,Hamper Brake Flap Right,0,AC Hamper,3.35,3.85,9.93,0,EA,AC,HAFELE,365.86.704,4,1,0,0,0,Y
AC-0000012,Hamper Rack Chrome 214 MM,Hamper Rack Chrome 214 MM,Hamper Rack Chrome 214 MM,0,AC Hamper,1.11,1.28,5.33,0,EA,AC,HAFELE,547.42.990,4,1,0,0,0,Y
AC-0000014,Hamper Rack White 214 (New),Hamper Rack White 214 (New),Hamper Rack White 214,0,AC Hamper,0.95,1.09,5.01,0,EA,AC,HAFELE,547.42.991,4,1,0,0,0,Y
AC-0000015,"CLOTH LAUNDRY BAG 24"" CREAM","CLOTH LAUNDRY BAG 24"" CREAM",CLOTH LAUNDRY BAG 24in CREAM,0,AC Closet Add,13.7,15.76,32.2,0,EA,AC,HAFELE,547.42.488,4,1,0,0,0,Y
AC-0000016,"CLOTH LAUNDRY BAG 18"" CREAM","CLOTH LAUNDRY BAG 18"" CREAM",CLOTH LAUNDRY BAG 18in CREAM,0,AC Closet Add,12.11,13.93,28.94,0,EA,AC,HAFELE,547.42.486,4,1,0,0,0,Y
AC-0000025,KN BRU NI RD 155.99.029,KN BRU NI RD 155.99.029,KN BRU NI RD 155.99.029,0,AC Handle,0.72,0.83,2.5,0,EA,AC,HAFELE,155.99.029,4,1,0,0,0,Y
AC-0000027,KN BRU NI AMER 133.79.051,KN BRU NI AMER 133.79.051,KN BRU NI AMER 133.79.051,0,AC Handle,1.84,2.12,4.79,0,EA,AC,HAFELE,133.79.051,4,1,0,0,0,Y
AC-0000030,KN OIL RUBBED BRZ 120.61.350,KN OIL RUBBED BRZ 120.61.350,KN OIL RUBBED BRZ 120.61.350,0,AC Handle,1.26,1.45,3.61,0,EA,AC,HAFELE,120.61.350,4,1,0,0,0,Y
AC-0000033,KN NICKEL MATT 134.45.600,KN NICKEL MATT 134.45.600,KN NICKEL MATT 134.45.600,0,AC Handle,1.51,1.74,4.12,0,EA,AC,HAFELE,134.45.600,4,1,0,0,0,Y
